Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Read Count
770565,The One Minute Manager Meets the Monkey,Kenneth H. Blanchard,"Blanchard, Kenneth H.",William Oncken Jr.,0688103804,9780688103804,0,4.04,William Morrow Paperbacks,Paperback,137,1989,1989,,26/08/2019,paperback,paperback (#543),read,,0
61926,"All the Weyrs of Pern (Pern, #11)",Anne McCaffrey,"McCaffrey, Anne",,0345419359,9780345419354,0,4.17,Del Rey,Paperback,404,1997,1991,,26/08/2019,paperback,paperback (#542),read,,0
127586,"The White Dragon (Pern, #3)",Anne McCaffrey,"McCaffrey, Anne",,0345341678,9780345341679,0,4.18,Del Rey/Ballantine Books,Mass Market Paperback,423,1986,1978,,26/08/2019,paperback,paperback (#541),read,,0
28547,"Dragonsinger (Harper Hall, #2)",Anne McCaffrey,"McCaffrey, Anne",,0689860072,9780689860072,0,4.28,Aladdin,Paperback,288,2003,1977,,26/08/2019,paperback,paperback (#540),read,,0
177938,"The Harper Hall of Pern (Pern: Harper Hall, #1-3)",Anne McCaffrey,"McCaffrey, Anne",,0553188445,9780553188448,0,4.44,,Hardcover,500,,1976,,26/08/2019,paperback,paperback (#539),read,,0
28541,"Dragonsong (Harper Hall, #1)",Anne McCaffrey,"McCaffrey, Anne",,141692499X,9781416924999,0,4.25,Aladdin Paperbacks,Paperback,192,2006,1976,,26/08/2019,paperback,paperback (#538),read,,0
127584,"Dragonquest (Pern, #2)",Anne McCaffrey,"McCaffrey, Anne",,,,0,4.1,Del Rey Books,Paperback,350,1986,1971,,26/08/2019,paperback,paperback (#537),read,,0
61975,"Dragonflight (Dragonriders of Pern, #1)",Anne McCaffrey,"McCaffrey, Anne",,0345484266,9780345484260,0,4.1,Del Rey,Paperback,299,2005,1968,,26/08/2019,paperback,paperback (#536),read,,0
18889,"Lady of Avalon (Avalon, #3)",Marion Zimmer Bradley,"Bradley, Marion Zimmer",Diana L. Paxson,0788720392,9780788720390,0,3.9,Recorded Books LLC,Paperback,460,1998,1982,,26/08/2019,paperback,paperback (#535),read,,0
18892,"The Forest House (Avalon, #2)",Marion Zimmer Bradley,"Bradley, Marion Zimmer",Diana L. Paxson,0451454243,9780451454249,0,3.86,Roc,Paperback,462,1995,1993,,26/08/2019,paperback,paperback (#534),read,,0
40605251,"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,"Bradley, Marion Zimmer",,,,0,4.12,Ballantine Books,Kindle Edition,912,2001,1982,,26/08/2019,paperback,paperback (#533),read,,0
43919,Faerie Tale,Raymond E. Feist,"Feist, Raymond E.",,0586071393,9780586071397,0,3.87,Voyager,Mass Market Paperback,490,1989,1988,,26/08/2019,paperback,paperback (#532),read,,0
18884,Polgara the Sorceress,David Eddings,"Eddings, David",Leigh Eddings,0345422554,9780345422552,0,4.09,Del Rey Books,Paperback,754,1998,1997,,26/08/2019,paperback,paperback (#531),read,,0
189802,Belgarath the Sorcerer,David Eddings,"Eddings, David",Leigh Eddings,0345403959,9780345403957,0,4.08,Del Rey Books,Paperback,736,1997,1995,,26/08/2019,paperback,paperback (#530),read,,0
44687,"Enchanters' End Game (The Belgariad, #5)",David Eddings,"Eddings, David",,0345300785,9780345300782,0,4.18,Del Rey,Mass Market Paperback,384,1984,1984,,26/08/2019,paperback,paperback (#529),read,,0
