Book_Id,ISBN,My_Rating,Date_Read,Date_Added,Bookshelves,Exclusive_Shelf,My_Review,Spoiler,Private_Notes,Read_Count,Original_Purchase_Date
34128219,375815309,0,,25/09/2019,to-read,to-read,,,,0,
23446943,62386247,4,24/09/2019,31/07/2019,,read,,,,1,
18090079,62237187,3,22/09/2019,19/09/2019,,read,,,,1,
41015154,,0,,19/09/2019,to-read,to-read,,,,0,
36260006,734418221,4,,19/09/2019,,read,,,,1,
33783451,62678809,4,,31/07/2019,,read,,,,1,
25832693,,4,13/09/2019,31/07/2019,,read,,,,1,
30255946,62386239,4,1/09/2019,28/08/2019,,read,,,,1,
31824789,,4,28/08/2019,21/08/2019,,read,,,,1,
41028172,,4,16/08/2019,9/08/2019,,read,,,,1,
38359036,006287067X,5,8/08/2019,2/08/2019,library,read,,,,1,
35057183,,0,,23/06/2018,"library, dnf",dnf,"I gave up, there are too many good books out there and this one just doesn't do it for me.",,,0,
40133569,,4,2/08/2019,31/07/2019,library,read,,,,1,
41571059,62859862,0,,31/07/2019,to-read,to-read,,,,0,
8779525,,0,,31/07/2019,to-read,to-read,,,,0,
22082598,,0,,31/07/2019,to-read,to-read,,,,0,
15768152,62236997,0,,31/07/2019,to-read,to-read,,,,0,
13426049,62015729,0,,31/07/2019,to-read,to-read,,,,0,
10650911,62015702,0,,31/07/2019,to-read,to-read,,,,0,
7882231,61791784,0,,31/07/2019,to-read,to-read,,,,0,
6093438,61791768,0,,31/07/2019,to-read,to-read,,,,0,
34219873,316439959,4,29/07/2019,19/10/2017,library,read,,,,1,
35068752,62678736,4,,25/07/2019,library,read,,,,1,
40733925,,4,,21/07/2019,library,read,,,,1,
25758373,1447298314,3,18/07/2019,15/07/2019,library,read,,,,1,
41504473,,3,13/07/2019,7/07/2019,library,read,,,,1,
27213184,62386271,4,7/07/2019,4/07/2019,library,read,,,,1,
17331392,62237179,4,,4/07/2019,library,read,,,,1,
23123223,B009HX98X6,0,,1/07/2019,to-read,to-read,,,,0,
17675042,525953620,3,,30/06/2019,library,read,,,,2,
43371944,,4,23/06/2019,30/04/2019,library,read,"I am very much enjoying this series about Hugh Monsarrat and his friend/ housekeeper Hannah Mulrooney, both of them having been sent to New South Wales as convicts. This book, the fourth in the series, is essentially about freedom of the press, a very timely subject for discussion in our country at the moment. I highly recommend this series for anyone interested in the early history of Australia and also anyone who enjoys a good story involving crime in a historical setting.",,,1,
24493711,552166391,0,,19/06/2019,to-read,to-read,,,,0,
29248613,1743534906,0,,19/06/2019,to-read,to-read,,,,0,
18747669,7419597,4,,19/06/2019,library,read,,,,1,
25666052,1250080932,5,,28/02/2016,library-ebook,read,,,,1,
36137547,006267885X,4,3/06/2019,30/05/2019,library,read,,,,1,
18145833,7419570,4,30/05/2019,24/05/2019,library,read,,,,1,
38587286,,3,23/05/2019,20/05/2019,,read,,,,1,
21936820,62237209,4,20/05/2019,17/05/2019,,read,,,,1,
44437338,765398516,4,17/05/2019,10/05/2019,library,read,,,,1,
16284946,1781320578,0,,4/03/2019,"kindle, to-read",to-read,,,,0,
35018916,765398486,4,6/05/2019,31/03/2019,kindle,read,,,,1,
41212776,62841106,0,,30/04/2019,to-read,to-read,,,,0,
36794604,,4,30/04/2019,23/04/2019,library,read,"I'm enjoying this series about Hugh Monsarrat and his adventures in the colonies. This one takes him to Maria Island of the coast of Tasmania to solve the murder of the bosun, the operator of the island's only boat. I've always been keen on history and found this look at the notorious island very interesting. I know the authors took some liberties with the strict historical setting but it is a novel so that's not really a problem. I recommend this book but do read the series in order, it will make it more enjoyable.",,,1,
29093246,399574700,4,22/04/2019,20/04/2019,library,read,,,,1,
35690767,1925498883,5,20/04/2019,9/01/2018,library,read,"I've only recently discovered Garry Disher's books, this is the third I've read, and I wonder how that happened. <br/>This book is about Alan Auhl, a police sergeant brought back to work cold cases, which seems to be a popular theme. Auhl investigates several cases, and brings his own unique ways of dealing with them. Highly recommended.",,,1,
34019122,399593519,4,16/04/2019,30/10/2018,kindle,read,,,,1,
33493241,,4,7/04/2019,12/02/2019,,read,,,,1,
20643052,,0,,5/04/2019,to-read,to-read,,,,0,
39808468,1780899025,4,30/03/2019,25/03/2019,,read,,,,1,
38594019,1925584526,4,24/03/2019,7/07/2018,,read,,,,1,
37946414,031617663X,4,19/03/2019,27/10/2018,,read,,,,1,
37655505,1760632988,5,15/03/2019,28/07/2018,,read,"An excellent addition to the current offerings of Australian crime fiction, Scrublands tells the story of a small town in the Riverina, gripped by drought and having more than its fair share of secrets, beginning with the priest who shot five of his parishioners from the steps of the church on a Sunday morning.",,,2,
