Book_Id,ISBN,ISBN13,My_Rating,Date_Read,Date_Added,Original_Purchase_Date,Spoiler,Bookshelves,Exclusive_Shelf,Private_Notes,Read_Count,My_Review
29562210,,,0,,9/10/2019,,,currently-reading,currently-reading,,1,
38379,1932234411,9781932234411,1,,9/10/2019,,,,read,,1,Didnt get far into thius as the translation was very stilted. Loved the film. Book would read better in Japanese.
18693836,670016586,9780670016587,3,,9/10/2019,,,,read,,1,"Not a bad little thriller. Nice twist. Good characters, but protagonist was given impediments that were never overtly realised so added very little."
40121378,,,0,,1/10/2019,,,currently-reading,currently-reading,,1,
359,345455290,9780345455291,0,,27/09/2019,,,currently-reading,currently-reading,,1,
42748678,,,4,27/09/2019,23/09/2019,,,,read,,1,"Quite a nice little collection of stories and poems.<br/>Broken up with some long stories, some shorter stories and some poetry.<br/>Some are quite disturbing, some could be used as the basis of novels. There was more to tell in such stories as The Unforgiving Court and the Fifty Mile House. Both lend themselves to more stories or an  extended novel length story.<br/>I'll admit the poems didn't work for me, but then I've never been that big on poetry, so take my comment with a grain of salt.<br/>The Christmas tales at the end were on the disturbing side. Nothing wrong with that.<br/><br/>Look out for a copy, pick it up and have a good read. "
47508874,,,5,23/09/2019,27/08/2019,,,,read,,1,"Overall Review:<br/>DISCLAIMER: Before we proceed, I’m an author friend of Steve’s and have been featured in a number of his anthologies and magazines. Steve approached me to review “Deeper, Darker things” and I jumped at the chance. I have tried to remain impartial, but freely admit that it’s a hard task when granted the opportunity to review such a great collection of stories.<br/><br/>Dillon writes in a wonderful literary style that smacks of having grown up in England. His style is very cerebral, relying more on evoking a feeling of dread in the back of the reader’s mind rather than an outright visceral attack on their senses.<br/>He states that his favourite authors are Ramsay Campbell and Clive Barker. Their influence can be seen in the way he approaches his writing, leaving the reader wondering whether Dillon’s style has been drawn from Campbell’s/Barker’s, or whether Dillon was drawn to them because of his style.<br/>As a whole this is an eclectic and almost eccentric collection. The title sums it up perfectly. These are tales of deeper, darker things. Most are cerebral, hitting the reader deep in their mind like a sledgehammer. Some even stay with you long after you’ve moved away from the book.<br/>Each story can be read in isolation, but the two presented from the Refuge collection garner a wish in the reader’s soul to seek out those anthologies and plunge into the world of Refuge and its sister town Bliss. Each location pops up multiple times along the way, weaving a common thread of shared geography and community through many of the stories.<br/><br/>Below is a short appraisal of each story:<br/><br/>Deeper, Darker things<br/>Very good, very Lovecraftian. Very much in the heavy literary style of Lovecraft, but with a nice deft finish that had me smiling.<br/><br/>The Scary Man<br/>Wow. For such a short story this had a massive gut punch of an ending.<br/><br/>Panopticon<br/>Great line: “the only fear I have these days is the thought of being summoned to a meeting” – sounds like me at work.<br/>A very dark tale which mixes 1984 with the Cthulhu mythos and War of the Worlds. Really quite good.<br/><br/>A Rapid Fingering<br/>Good. A creepy little horror sex tale that could probably be used in Steve’s up-coming “Guilty Pleasures” anthology.<br/><br/><br/>The Marshmallow People<br/>Steve asked me to read this one a fair while ago and it still reads well. One of those little tales grounded in reality which can provide more of a fright that any imagined monster.<br/><br/>Bliss Pond<br/>Great opening paragraph. Would instil the dream of being a teacher into even the hardest nut. "
144773,312286252,9780312286255,4,14/09/2019,14/09/2019,,,,read,,2,"This was Reilly's first book, written at 19 and revised a little later. I read a revised edition, which did seem as polished and professional as his later works. Though, it was through the gutsy decision to self-publish his first book that he landed the contract that catapulted him to mega-stardom.<br/>Reilly's style shines through in this book.<br/>It is fast paced, non-stop and leaves little time to catch your breath as a reader.<br/>I managed to finish it in six days, though a lot of that was on a bus trip to Sydney.<br/>Contest has all the hallmarks of what would become Reilly's style. Simple characters, with a degree of intelligence that is used to escape death-defying scenarios. Even at this first outing, Reilly introduces what will become a common attribute of his hero's. They are human. They have flaws, but they have an inner sense of their own extraordinary abilities.<br/>Stephen Swain is no different. He's an ER doctor, he eschews the use of weapons or the need to kill anything that resembles a human being. Animals not so much.<br/>His main flaw in this story is his humanity. He has a need to protect those around him. His daughter. A policeman caught up in the chaos, and even an alien he'd never met before.<br/>The plot of Contest is intriguing. Seven members of different alien species are teleported into the New York City library building. There to do battle to the death until one victor remains.<br/>From there Reilly throws in multiple curve balls that leave the contestants and the reader reeling.<br/>This is a fun filled, action packed thriller that marks the beginning of an incredible career.<br/>As a writer, I dream of being able to mimic Reilly's style, and especially his popularity."
46269324,1799080382,9781799080381,5,2/09/2019,27/08/2019,,,,read,,1,"CONTRIBUTOR REVIEW<br/>I have to admit that I was honoured to be included in this the sixth and last anthology in the Things in the Well series put together and published by Steve Dillon.<br/>The collection includes legends of the craft like Ramsay Campbell and Brian Lumley, through to emerging authors such as myself.<br/>The tales themselves range from darkly humorous to deeply disturbing and have all been written around the central theme of a good old day trip to the seaside, in the great English tradition. The funfair and boardwalk are featured prominently, with all the disturbing scenes that can come of what hides in the dark recesses of those rides and games.<br/>The volume is a little shorter than past entries in the series, but buckle up for a short fast paced thrill ride that you'll never forget. "
8785374,038561926X,9780385619264,5,27/08/2019,27/08/2019,,,,read,,1,"This was Terry Pratchett at possibly his most insightful period. Released four years after being diagnosed with Alzheimer's (earlier when being written), he would have known what his future held and began a period of self-reflection.<br/>This book is also pretty sad as it was to become the last of the City Watch series, and the last for Sam Vimes. It focuses heavily on Vimes himself and asks a lot of serious questions about his role, his future and his life.<br/>The story of snuff also focuses on the plight of the goblins. Until now these creatures have been painted as a species of higher homonids, but still much below others in the hierarchy. It is through Vimes and the Summoning Dark (the demon this shares his mind) that we learn the goblins are a sophisticated society that have been shunned into a state of servitude and fear by others. The goblins possibly reflect Pratchett's love of orangutans and their struggle.<br/>The Summoning Dark was another interesting aspect and seemed to reflect Pratchett's realisation that his disease was co-habiting his mind in much the same way and Vimes's relationship with the Dark reflected Pratchett's relationship and possible fear of losing to the disease.<br/>Overall, Snuff is a great book, with some fun aspects and some slightly sad moments.<br/>The City Watch is left forever changed in some ways at the end, but until someone else takes up the mantle they will forever remain as such.<br/><br/>PS: In the end this book was hard for me to read, as it was one of the few remaining Discworld books I hadn't read."
