Book_Id,ISBN,ISBN13,My_Rating,Date_Read,Date_Added,Bookshelves,Exclusive_Shelf,My_Review,Spoiler,Private_Notes,Read_Count,Original_Purchase_Date
49774,,,3,22/05/2015,19/08/2014,paperback,read,,,,1,
21796414,,,0,,20/12/2018,"ebook, currently-reading",currently-reading,,,,1,
29360904,1409159019,9781409159018,4,4/10/2015,27/09/2015,paperback,read,,,,1,
38213085,1405934131,9781405934138,0,,4/10/2019,"currently-reading, paperback",currently-reading,,,,1,
25115882,,,4,3/10/2019,24/05/2016,ebook,read,,,,1,
47173158,,,3,19/09/2019,26/12/2014,ebook,read,,,,1,
770565,0688103804,9780688103804,0,,26/08/2019,paperback,read,,,,0,
61926,0345419359,9780345419354,0,,26/08/2019,paperback,read,,,,0,
127586,0345341678,9780345341679,0,,26/08/2019,paperback,read,,,,0,
28547,0689860072,9780689860072,0,,26/08/2019,paperback,read,,,,0,
177938,0553188445,9780553188448,0,,26/08/2019,paperback,read,,,,0,
28541,141692499X,9781416924999,0,,26/08/2019,paperback,read,,,,0,
127584,,,0,,26/08/2019,paperback,read,,,,0,
61975,0345484266,9780345484260,0,,26/08/2019,paperback,read,,,,0,
18889,0788720392,9780788720390,0,,26/08/2019,paperback,read,,,,0,
18892,0451454243,9780451454249,0,,26/08/2019,paperback,read,,,,0,
40605251,,,0,,26/08/2019,paperback,read,,,,0,
43919,0586071393,9780586071397,0,,26/08/2019,paperback,read,,,,0,
18884,0345422554,9780345422552,0,,26/08/2019,paperback,read,,,,0,
189802,0345403959,9780345403957,0,,26/08/2019,paperback,read,,,,0,
44687,0345300785,9780345300782,0,,26/08/2019,paperback,read,,,,0,
645023,0345335708,9780345335708,0,,26/08/2019,paperback,read,,,,0,
44688,0345335457,9780345335456,0,,26/08/2019,paperback,read,,,,0,
587582,0345335651,9780345335654,0,,26/08/2019,paperback,read,,,,0,
44659,0345468643,9780345468642,0,,26/08/2019,paperback,read,,,,0,
10596,0451191013,9780451191014,0,,26/08/2019,paperback,read,,,,0,
17660,,,0,,26/08/2019,paperback,read,,,,0,
10605,0451190750,9780451190758,0,,26/08/2019,paperback,read,,,,0,
5129,0060929871,9780060929879,0,,26/08/2019,paperback,read,,,,0,
18512,,,0,,26/08/2019,paperback,read,,,,0,
15241,0618346260,9780618346264,0,,26/08/2019,paperback,read,,,,0,
34,0618346252,9780618346257,0,,26/08/2019,paperback,read,,,,0,
5907,0618260307,9780618260300,0,,26/08/2019,paperback,read,,,,0,
18342283,0399160477,9780399160479,0,,26/08/2019,paperback,read,,,,0,
19675,0006479758,9780006479758,0,,26/08/2019,paperback,read,,,,0,
19670,0425147584,9780425147580,0,,26/08/2019,paperback,read,,,,0,
34993,0425184226,9780425184226,0,,26/08/2019,paperback,read,,,,0,
32669,0425144372,9780425144374,0,,26/08/2019,paperback,read,,,,0,
382549,0425116840,9780425116845,0,,26/08/2019,paperback,read,,,,0,
19691,0425172902,9780425172902,0,,26/08/2019,paperback,read,,,,0,
19707,0399148701,9780399148705,0,,26/08/2019,paperback,read,,,,0,
32682,0425134350,9780425134351,0,,26/08/2019,paperback,read,,,,0,
1855153,0140008535,9780140008531,0,,26/08/2019,paperback,read,,,,0,
395868,1903015111,9781903015117,0,,26/08/2019,paperback,read,,,,0,
35231,0812513754,9780812513752,0,,26/08/2019,paperback,read,,,,0,
13895,1857232097,9781857232097,0,,26/08/2019,paperback,read,,,,0,
9539,0812513738,9780812513738,0,,26/08/2019,paperback,read,,,,0,
34897,0765305119,9780765305114,0,,26/08/2019,paperback,read,,,,0,
233649,0812517725,9780812517729,0,,26/08/2019,paperback,read,,,,0,
228665,0812511816,9780812511819,0,,26/08/2019,paperback,read,,,,0,
8834,055277183X,9780552771832,0,,26/08/2019,paperback,read,,,,0,
242241,059305749X,9780593057490,0,,26/08/2019,paperback,read,,,,0,
242252,0552154490,9780552154499,0,,26/08/2019,paperback,read,,,,0,
8829,0552771236,9780552771238,0,,26/08/2019,paperback,read,,,,0,
242242,0552154482,9780552154482,0,,26/08/2019,paperback,read,,,,0,
8828,0552999954,9780552999953,0,,26/08/2019,paperback,read,,,,0,
8826,0552999458,9780552999458,0,,26/08/2019,paperback,read,,,,0,
14497,0060557818,9780060557812,0,,26/08/2019,paperback,read,,,,0,
14498,1401210074,9781401210076,0,,26/08/2019,paperback,read,,,,0,
359,0345455290,9780345455291,0,,26/08/2019,paperback,read,,,,0,
357,0671742515,9780671742515,0,,26/08/2019,paperback,read,,,,0,
569429,0345379330,9780345379337,0,,26/08/2019,paperback,read,,,,0,
365,,,0,,26/08/2019,paperback,read,,,,0,
6091075,,,0,,26/08/2019,paperback,read,,,,0,
8694,0345418905,9780345418906,0,,26/08/2019,paperback,read,,,,0,
8695,,,0,,26/08/2019,paperback,read,,,,0,
386162,,,0,,26/08/2019,paperback,read,,,,0,
11566,0451933028,9780451933027,0,,26/08/2019,paperback,read,,,,0,
9364112,1926428226,9781926428222,0,,26/08/2019,hardcover,read,,,,0,
1036706,0600205215,9780600205210,0,,26/08/2019,paperback,read,,,,0,
473623,0749732105,9780749732103,0,,26/08/2019,paperback,read,,,,0,
74998,074974801X,9780749748012,0,,26/08/2019,paperback,read,,,,0,
17491,0749748001,9780749748005,0,,26/08/2019,paperback,read,,,,0,
11313,0689840330,9780689840333,0,,26/08/2019,paperback,read,,,,0,
222576,1416949674,9781416949671,0,,26/08/2019,paperback,read,,,,0,
24963,0689840349,9780689840340,0,,26/08/2019,paperback,read,,,,0,
210329,1416949658,9781416949657,0,,26/08/2019,paperback,read,,,,0,
11312,068987121X,9780689871214,0,,26/08/2019,paperback,read,,,,0,
39309734,1473647649,9781473647640,4,25/08/2019,15/06/2019,paperback,read,,,,1,
42643896,1405940360,9781405940368,5,12/08/2019,27/07/2019,paperback,read,,,,1,
