Book_Id,ISBN,ISBN13,Title,Author,Author_l-f,Additional_Authors,Average_Rating,Publisher,Binding,Number_of_Pages,Year_Published,Original_Publication_Year
17235026,356500152,9780356500157,"The Girl With All the Gifts (The Girl With All the Gifts, #1)",M.R. Carey,"Carey, M.R.",,3.94,Orbit ,Paperback,461,2014,2014
1787391,1863731016,9781863731010,DAAS Kapital,Doug Anthony Allstars,"Allstars, Doug Anthony",,4.2,Allen & Unwin,Paperback,,1992,1992
18492214,733629350,9780733629358,Carry a Big Stick,Tim    Ferguson,"Ferguson, Tim",,3.87,Hachette Australia ,Paperback,368,2013,2013
37807336,,9781370249305,"Beneath The Mask (Book 2: Love, Lies,  Ninja Missions)",Tracy Ellen,"Ellen, Tracy",,0,Tracy Ellen,ebook,,2018,
34567603,,,"A Wedding Written in the Stars (The Adventures of Anabel Axelrod, #7.5)",Tracy Ellen,"Ellen, Tracy",,4.44,Tracy Ellen INK,Kindle Edition,96,2017,2017
32189326,,9781370237166,"All Jazzed Up (Love, Lies, & Ninja Missions, #1)",Tracy Ellen,"Ellen, Tracy",,4.49,Tracy Ellen,ebook,,2016,
36535714,,,Honeymoon & Happenstance (The Adventures of Anabel Axelrod),Tracy Ellen,"Ellen, Tracy",,4.33,Pronoun,Kindle Edition,,2018,
33404695,,,"The Kiss of Kismet (The Adventures of Anabel Axelrod, #7)",Tracy Ellen,"Ellen, Tracy",,4.55,Tracy Ellen INK,Kindle Edition,203,2017,2017
27243799,1519136676,9781519136671,"Coupled with Chance (The Adventures of Anabel Axelrod, #6)",Tracy Ellen,"Ellen, Tracy",,4.47,Smashwords Edition,Paperback,226,2015,2015
25506339,1512171166,9781512171167,"Family & Fortune (The Adventures of Anabel Axelrod, #5)",Tracy Ellen,"Ellen, Tracy",,4.43,Tracy Ellen INK,Paperback,224,2015,2015
23119129,1503397416,9781503397415,"Adieu to Destiny (The Adventures of Anabel Axelrod, #4)",Tracy Ellen,"Ellen, Tracy",,4.42,Create Space,Paperback,222,2014,2014
18473925,149236875X,9781492368755,"In Love by Design (The Adventures of Anabel Axelrod, #3)",Tracy Ellen,"Ellen, Tracy",,4.44,CreateSpace,Paperback,319,2013,2013
17659228,1482738090,9781482738094,"Courted by Karma (The Adventures of Anabel Axelrod, #2)",Tracy Ellen,"Ellen, Tracy",,4.35,Createspace Independent Publishing Platform,Paperback,238,2013,2013
16110508,1480065951,9781480065956,"A Date with Fate (The Adventures of Anabel Axelrod, #1)",Tracy Ellen,"Ellen, Tracy",,3.63,CreateSpace Independent Publishing Platform ,Paperback,284,2012,2012
28116714,1250074126,9781250074126,"Perfect (Flawed, #2)",Cecelia Ahern,"Ahern, Cecelia",,4.22,Feiwel & Friends,Hardcover,341,2017,2017
4279056,7284977,9780007284979,The Gift,Cecelia Ahern,"Ahern, Cecelia",,3.69,HarperCollins,Hardcover,305,2009,2008
23438288,1250074118,9781250074119,"Flawed (Flawed, #1)",Cecelia Ahern,"Ahern, Cecelia",,4.11,Feiwel and Friends,Hardcover,336,2016,2016
41589624,,,Tried and True in Dog Town (Dog Town #4),Sandy Rideout,"Rideout, Sandy",,3.55,,Kindle Edition,,,
46137595,1728613426,9781728613420,His Secret Heart: A Crown Creek Novel,Theresa Leigh,"Leigh, Theresa",,0,Independently published,Paperback,258,2018,
37799779,,,"Loud Rowdy Hearts (Kings of Crown Creek, #0.5)",Vivian Lux,"Lux, Vivian",Theresa Leigh,3.89,,Kindle Edition,56,2018,
41529021,,,"His Secret Heart (Kings of Crown Creek, #5)",Theresa Leigh,"Leigh, Theresa",,4.35,Theresa Leigh,Kindle Edition,476,2018,
39716907,,,"Soft Wild Ache (Kings of Crown Creek, #3)",Vivian Lux,"Lux, Vivian",Theresa Leigh,4.35,,Kindle Edition,259,2018,
38193102,,,"Lost Filthy Night (Kings of Crown Creek, #2)",Vivian Lux,"Lux, Vivian",Theresa Leigh,4.12,,Kindle Edition,236,2018,2018
40784180,,,"Last Good Man (Kings of Crown Creek, #4)",Theresa Leigh,"Leigh, Theresa",,3.79,Theresa Leigh,ebook,299,2018,2018
37827736,,,"Sweet Crazy Song (Kings of Crown Creek, #1)",Vivian Lux,"Lux, Vivian",,3.74,,Kindle Edition,254,2018,
31702812,076537465X,9780765374653,A Dog's Way Home,W. Bruce Cameron,"Cameron, W. Bruce",,4.19,Forge,Hardcover,336,2017,2017
13167796,765330539,9780765330536,"A Dog's Journey (A Dog's Purpose, #2)",W. Bruce Cameron,"Cameron, W. Bruce",,4.41,Forge,Hardcover,336,2012,2012
7723542,765326264,9780765326263,"A Dog's Purpose (A Dog's Purpose, #1)",W. Bruce Cameron,"Cameron, W. Bruce",,4.36,Forge,Hardcover,319,2010,2010
28113984,,9780993923890,"Forever In My Heart (A New Start, #4)",Charlene Carr,"Carr, Charlene",,4.31,Coastal Lines,ebook,223,2015,
28246358,,,"Whispers of Hope (A New Start, #5)",Charlene Carr,"Carr, Charlene",,4.45,Coastal Lines,Kindle Edition,,2016,2016
25128203,,9780993923852,"By What We Love (A New Start, #3)",Charlene Carr,"Carr, Charlene",,4.26,Coastal Lines,Paperback,196,2015,2015
23527779,,,"Where There Is Life (A New Start, #2)",Charlene Carr,"Carr, Charlene",,4.12,Coastal Lines,Kindle Edition,194,2014,2014
47177951,,,"When Comes The Joy (A New Start, #1)",Charlene Carr,"Carr, Charlene",,3.56,Charlene Carr,Kindle Edition,,,2014
48126431,,,The Gift of Happiness,Holly Martin,"Martin, Holly",,5,,Kindle Edition,256,2019,2019
25893534,345810872,9780345810878,Brave Enough,Cheryl Strayed,"Strayed, Cheryl",,3.91,Knopf Canada,Hardcover,160,2015,2015
998601,749929006,9780749929008,Why Women Don't Ask,Linda Babcock,"Babcock, Linda",Sara Laschever,3.99,Piatkus Books,Paperback,,2008,2003
12543,385480016,9780385480017,Bird by Bird: Some Instructions on Writing and Life,Anne Lamott,"Lamott, Anne",,4.24,Anchor,Paperback,237,1995,1994
7948901,307452549,9780307452542,The 10 Laws of Enduring Success,Maria Bartiromo,"Bartiromo, Maria",Catherine Whitney,3.7,Crown Business,ebook,0,2010,2010
18114163,142180572,9780142180570,Mistakes I Made at Work: 25 Influential Women Reflect on What They Got Out of Getting It Wrong,Jessica Bacal,"Bacal, Jessica",,3.66,Plume,Hardcover,252,2014,2014
12357518,753539799,9780753539798,Screw Business As Usual,Richard Branson,"Branson, Richard",,3.67,Virgin Books,Paperback,357,2011,2011
35062823,989190374,9780989190374,The Pocket Guide to Action: 116 Meditations on the Art of Doing,Kyle Eschenroeder,"Eschenroeder, Kyle",,4.27,Semper Virilis Publishing,Paperback,,2017,
18668059,1591846358,9781591846352,The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,Ryan Holiday,"Holiday, Ryan",,4.14,Portfolio,Hardcover,201,2014,2014
959775,553383752,9780553383751,Ask for It: How Women Can Use the Power of Negotiation to Get What They Really Want,Linda Babcock,"Babcock, Linda",Sara Laschever,4,Bantam,Hardcover,324,2008,2008
29540318,1471157326,9781471157325,Year of Yes,Shonda Rhimes,"Rhimes, Shonda",,4.08,Simon & Schuster Ltd,Paperback,352,2016,2015
39351469,,,The 4-Hour Work Week,Timothy Ferriss,"Ferriss, Timothy",,3.87,,,411,,2007
24453082,1594634718,9781594634710,Big Magic: Creative Living Beyond Fear,Elizabeth Gilbert,"Gilbert, Elizabeth",,3.91,Riverhead Books,Hardcover,288,2015,2015
